Hashtag,Edge_Count,Cluster_ID
UIST2020,1,31
AR,1,31
eurovis,1,0
dataviz,184,0
a11y,8,2
TactileArt,1,32
TactileDrawing,1,32
NICAR18,1,6
rstats,10,6
infodesign,1,1
datavis,19,1
infovis,28,1
feedly,5,16
colorpicker,1,0
d3js,44,3
rstudioconf,2,2
DataViz,14,2
DataScience,21,2
Braille,2,10
Blind,5,10
ATIA18,2,10
pokeviz,1,3
100daysofdataviz,1,0
datascience,6,0
Rusia2018,6,5
visualizacion,2,5
D3js,8,11
ieeevis,29,1
CFP,1,1
Treemap,2,11
regl,2,3
reactjs,9,3
WebDev,15,3
webGL,1,3
deckgl,4,3
vegaLite,1,3
proudTeacher,1,3
Starwars,1,33
semiotic,1,33
COVIDー19,7,4
AI,12,2
MachineLearning,21,2
webdev,1,0
netviz,5,0
MeToo,1,0
Bogotá,3,2
RevealJS,2,3
HCIL,18,7
projectlincoln,1,0
statistics,2,3
javascript,8,3
visualization,21,1
hcil,18,1
Immersive2017,1,1
InfoVis,5,5
TestOfTime,2,5
IEEEVIS,9,5
VizSec,1,5
deeplearning,3,1
tensorflow,3,1
BTW17,1,34
2Q17,1,34
MeteorJS,1,3
chi2018,5,1
assets2017,1,1
elasticsearch,1,0
pandas,2,19
matplotlib,2,19
ggplot2,2,19
nodejs,3,3
mongodb,3,3
BigData,24,2
insights,5,2
react,4,6
uber,1,1
Bogota,1,0
Dataviz,4,2
openaccess,1,1
ddj,8,6
data,2,3
Chinese,1,3
NeuralNets,1,35
Keras,1,35
Storytelling,1,1
GameOfThrones,4,1
d3,9,1
infosec,1,0
IncludeTheUser,2,2
ISRPBL2017,1,2
VisualAnalytics,3,2
bitcoin,1,0
vega,2,20
vegalite,2,20
vis,2,20
digitalHumanities,2,6
dataJournalism,4,6
ai,2,1
PowerBI,1,36
MSDataSummit,1,36
forecasting,1,6
networkVisualization,3,5
Meteorjs,2,3
networkVisualizations,2,0
GD2017,2,0
openvisconf,10,0
PML4DC,2,2
ICLR2020,2,2
chi2017,1,0
networks,2,11
React,7,3
humor,1,16
VR,1,0
OpenVisConf,1,0
OpenvisConf,1,0
d3annotation,1,3
SDGAtlas,1,0
D3JS,1,3
Meteor,2,3
VizBeyond,1,0
stateofobesity,1,0
datavisualization,2,3
CSUNATC17,1,9
TactileGraphics,8,9
ManchesterCity,2,0
monaco,2,0
es2015,1,3
infographics,4,6
blackhistory,1,37
dj3s,1,37
COVID_19,1,1
COVID19,3,1
machinelearning,9,2
SublimeText,1,3
Inauguration,1,0
Datavisualization,5,0
classicViz,2,0
Hamilton,1,0
Infovis,1,2
fakeNews,2,1
msnbc,2,1
datatiz,1,38
MakeoverMonday,1,38
Data,1,39
Python,1,39
tsne,1,0
3Dprinting,2,10
3dA11y,2,10
3DModels,5,10
ElectionResults,1,0
scrollytelling,1,0
opendata,6,3
Condatos2016,2,3
creativecoding,4,3
Dewey,1,11
ML,5,2
Ilustrador,1,3
InfoVIs,1,1
VDS,1,1
plebiscito,2,12
DatosAbiertos,3,12
debate,1,0
everychartisjustanotherchart,1,3
VPDebate,1,0
CityVis,1,40
Habitat3,1,40
d3unconf,4,0
visualizations,1,16
colombia,1,0
tbt,1,2
DataVisualization,3,2
DeepLearning,8,2
text,1,0
Fórmulasdecambio,1,41
ClubesdeCiencia,1,41
Chart,1,42
Covid,1,42
visualización,2,4
CoronavirusEnColombia,2,4
Covid_19,4,1
OpenData,4,1
Colombia,16,4
Innovation,1,4
measure,1,0
India,2,21
China,2,21
Nigeria,2,21
hackethercamp,1,4
HumanInTheLoop,1,2
stats,4,2
EURO2016,2,1
interactive,4,1
generative,4,3
typography,1,3
tableau,1,43
ZensOnTour,1,43
VCWorkshop2016,1,1
ClubesDeCienciaCo,1,1
avi2016,4,15
visualizing,4,15
treemaps,3,15
ConexiónEgresados,2,22
ClubesDeCiencia,2,22
ASEUTP,2,22
THEBIGGEST,1,2
superheroes,1,44
superviz,1,44
StrataHadoop,3,2
lcfc,2,0
bump,2,0
HospitalUniversitario,1,2
Vega,3,0
BestWorstViz,1,1
bigData,1,1
topojson,1,3
coronavirus,1,4
photography,1,0
football,5,1
soccer,2,1
Oscars,2,0
dds2016,1,6
SB50,1,1
Virunga,1,45
TakeAction,1,45
chi2016,2,2
visualanalytics,2,2
Entrepreneurship,1,46
GECMedellín,1,46
layout,3,3
es6,3,3
merch,1,3
COL,10,5
canvas,1,3
datajournalism,2,0
s,1,0
network,3,3
davaviz,1,1
endrainbow,2,0
vast2015,1,1
Brazil,3,4
coronaviruscolombia,4,4
jornadasHCIPuebla,2,23
zelda,2,23
BreathoftheWild,2,23
Statistics,2,2
JackDorsey,1,47
CEO,1,47
Periscope,1,48
expocamello2015,1,48
technology,1,16
datapoints,1,1
GIS,6,3
mapping,2,3
bigdata,2,0
flickr,3,7
goldengatepark,1,7
Markdown,2,11
Tufte,2,11
Yahoohq,2,7
Europe,1,0
MarriageEquaility,1,0
distractinglysexy,1,1
oakland,4,1
meetup,4,1
SanFrancisco,1,1
Parquesoft,1,49
Genverde,1,49
Felicidad,1,50
muuu,1,50
Cali,4,2
UMd,1,7
UMD,5,7
CfAR,1,7
startup,2,24
DemandSolutions,1,24
contextualism,1,51
relativism,1,51
StartAppsAcademic,2,25
AndresFelipeGiraldo,2,25
Wingz,2,25
scicomm,1,0
sanfrancisco,2,26
night,2,26
citysight,2,26
advice,1,13
business,5,13
marriage,1,0
Nicaragua,2,27
EcoReto,2,27
TICAmericas,2,27
bigthinkers,1,0
fitness,1,0
idea2014,1,52
kdd2014,1,52
hci,1,0
Analytics,2,2
PARCForum,2,2
tidybayes,1,6
PI,1,1
WorldCup,4,5
JPN,1,5
col,5,0
brazil2014,3,5
datatothemac,1,53
showandtell,1,53
NEDvsESP,1,5
EleccionesColombia,8,4
ColombiaElige,2,4
Elecciones2014,3,4
VotoEnBlanco,1,4
chi2014,1,54
retweetme,1,54
Measles,1,55
vaccineswork,1,55
BoiseState,2,0
Professors,2,0
sports,2,1
YABT,4,13
youngEntrepreneurs,4,13
Eco,4,13
sustainability,4,13
tapestryconf,2,28
Wikipedia,1,56
keepitfree,1,56
strataconf,1,0
emprendimiento,3,4
innovación,4,4
iris,3,4
ciegos,3,4
ona13,1,3
TreeVersity,4,1
SomosUDI,1,57
OpenIdeas,1,57
HCI,9,2
chi2020,3,1
AcademicTwitter,1,58
academiclife,1,58
BrailleBlaster,1,59
BrailleImages,1,59
bayd3,1,3
RAW,3,6
D3,5,6
DIY,3,6
UMCP,4,7
LaRespuestaesCOlombia,1,60
MaravillasDeColombia,1,60
SNA,3,5
DataVis,3,5
Socialmedia,3,5
umd,1,1
scivis,1,1
CHI,1,0
analytics,2,1
Entrepreneurs,1,24
storykit,1,61
ICDL,1,61
dataGIF,1,1
SoyParqueSoft,2,29
VivoLaTecnología,1,29
CATTLab,1,7
NFBTG,1,29
FIAumd,2,7
iSchool,4,2
infoviz,1,0
NodeXL,2,1
ddjbook,1,1
NeurIPS2019,1,2
visfestunconf,2,0
time,1,1
MonoTrans,1,7
processing,1,1
Convocatoria,1,62
SocEnt,1,62
goodtimeatthelab,1,7
visweekposterdemo,1,63
visweek,1,63
chi2012,1,1
IamFirst,1,64
willIAm,1,64
Google,3,17
youngminds,2,17
Zeitgeist,2,17
TechCrunch,1,17
deadspace2,2,1
chi2011,2,1
CHI2011,2,7
iUMD,2,7
Tableau,2,0
data19,2,0
Assets2019,2,0
Assets19,2,0
Halloween2019,1,65
Halloween,1,65
iccv2019,1,66
iccv,1,66
EleccionesColombia2019,1,4
assets2019,2,2
IR,4,2
shameOnMe,1,2
tSNE,1,1
ieeevis2019,2,0
ldav,1,1
IEEEVIS2019,1,0
VSUP,1,1
Vis4DH,2,1
digitalhumanities,2,1
tutorial,1,1
SandDance,2,3
VSCode,2,3
Japan,3,9
TactileUniverse,3,9
TactileMaps,3,9
openscience,2,2
Microbiology,3,10
VisuallyImpaired,3,10
foss4gna,5,3
foss4g,5,3
foss4g2019,5,3
foss4g19,5,3
sautiyetu,6,14
dlindaba,6,14
DLIndaba2019,6,14
deepindaba,5,14
deeplearningindaba,6,14
DLIndaba19,5,14
SaveTheData,1,0
accessibility,2,9
SIGGRAPH2019,1,0
ISMBECCB19,7,8
ISMB19,7,8
BIOVIS,6,8
ISMBECCB2019,9,8
ISMB2019,7,8
ISMBECCB,8,8
BOSC2019,6,8
TDF2019,1,0
infographic,1,1
Atlántico,1,1
Voronoï,1,3
ISMBFollowGreatWomen,1,8
BioVis,4,8
biovis,5,0
Keynote,3,8
NASA,1,0
useR2019,1,0
VizRisk,1,0
NodeConfCo,5,3
JsConfCo,5,3
Nodejs,5,3
ComputerVision,2,2
CVPR2019,2,2
DataVizSociety,2,0
eyeo2019,2,0
TapestryConf,2,0
ieeevis2018,4,0
Eurovis2019,2,0
EuropeanSemester,1,67
growth,1,67
storytelling,3,2
chi2019,7,1
scrollyTelling,1,0
dj,2,0
Eyeo2019,1,0
poverty,1,0
cybersecurity,1,1
TheWebConf,1,68
www19,1,68
climatechange,2,0
Fridays4Future,2,0
EUelections2019,2,30
EU,2,30
EUElections,2,30
sigchi,2,1
NetViz,1,0
CHI2019,1,0
JavaScript,1,2
CustomerExperience,3,18
CX,3,18
CXSummit2019,6,18
TipsCX,3,18
pydata,1,69
python,1,69
UMAP,1,70
Aframe,1,70
NavioJS,3,2
DatatonDelSenado,2,12
datosAbiertos,3,12
Romania,1,9
rstat,1,0
bogota,2,3
SUCoSummit,1,0
DataArt,1,71
CreativeCoding,1,71
NodeJS,4,3
Express,3,3
MongoDB,3,3
CES2019,1,8
NeurIPS2018,1,0
HumanCentered,2,2
knowie,1,72
tenis,1,72
NeurIPS,1,2
Charticulator,2,28
GANpaint,1,73
GANdissect,1,73
INFOGRAPHICS,4,2
IoT,4,2
InternetOfThings,4,2
DigitalMarketing,4,2
SUColSummit,5,4
Exponential,4,4
innovation,4,4
Clustergrammer2,1,74
scipy2020,1,74
webdevelopment,1,2
BeExponential,2,2
BigGAN,2,2
jsconfco,1,0
CSCW,1,0
draco,1,1
belivws,1,1
latins,2,5
visxai,1,1
VizSec2018,1,5
waterdata,3,6
HurricaneMichael,3,6
iibawards,1,28
Visualization,1,2
Florence,1,75
USGS,1,75
research,2,9
CHI2020,2,9
latinx,1,76
covid19,1,76
openData,1,12
ConsultaAnticorrupción,3,4
YoVoteContraLaCorrupción,3,4
ConsultaAnticoncorrupcion,1,12
SIGGRAPH2018,1,0
BetterPresentations,1,0
ColombiaVsInglaterra,4,5
VamosColombia,4,5
ENG,4,5
Scrollytelling,1,0
CVPR2018,2,2
CopaMundial,3,2
Copa2018,3,2
ARG,3,2
arg,4,0
bra,4,0
CopaMundial2018,4,0
ColombiaDecide,3,4
IMAGINE,1,2
IWVC,3,2
p5,1,3
ALTEC,1,4
meteor,2,6
uncertainty,2,15
VisInPractice,2,15
AIforAccessibility,1,2
networkViz,1,11
MachineLeaning,3,2
ICLR2018,3,2
CHI2018,1,0
w4a18,1,2
mobile,2,1
dataViz,1,1
